city,timestamp,temperature,season
New York,2010-01-01,0.2957977639435198,winter
New York,2010-01-02,1.91751068898497,winter
New York,2010-01-03,-3.596827372703335,winter
New York,2010-01-04,-5.013442321242727,winter
New York,2010-01-05,-6.887135218264415,winter
New York,2010-01-06,11.614231564326737,winter
New York,2010-01-07,-7.1133406202187075,winter
New York,2010-01-08,6.097241740715393,winter
New York,2010-01-09,-8.889729113297564,winter
New York,2010-01-10,3.3897415748752,winter
New York,2010-01-11,5.258427310821564,winter
New York,2010-01-12,4.399157101399488,winter
New York,2010-01-13,-3.6246480079339927,winter
New York,2010-01-14,-2.5104303280184426,winter
New York,2010-01-15,-0.6366751589944184,winter
New York,2010-01-16,-0.7196562268663669,winter
New York,2010-01-17,-5.528393369769896,winter
New York,2010-01-18,-0.2674462889690576,winter
New York,2010-01-19,6.6734866339267205,winter
New York,2010-01-20,-8.009365205844464,winter
New York,2010-01-21,3.9922259924021315,winter
New York,2010-01-22,-1.5306025147048483,winter
New York,2010-01-23,-1.7913219727576821,winter
New York,2010-01-24,5.945303263134733,winter
New York,2010-01-25,-4.387073622392272,winter
New York,2010-01-26,-1.6302727428220611,winter
New York,2010-01-27,1.5651731853181379,winter
New York,2010-01-28,1.0299353553731148,winter
New York,2010-01-29,7.377687180635446,winter
New York,2010-01-30,-5.187759722044056,winter
New York,2010-01-31,6.743189000860424,winter
New York,2010-02-01,-3.0768853373885214,winter
New York,2010-02-02,-3.612360036828011,winter
New York,2010-02-03,2.284757067670637,winter
New York,2010-02-04,3.601921640762105,winter
New York,2010-02-05,1.29162116412866,winter
New York,2010-02-06,-8.566541705317622,winter
New York,2010-02-07,-1.9784713952414088,winter
New York,2010-02-08,-1.2167477011157906,winter
New York,2010-02-09,1.6198950330608657,winter
New York,2010-02-10,1.4395798108458964,winter
New York,2010-02-11,-4.839648898952575,winter
New York,2010-02-12,7.231765042303221,winter
New York,2010-02-13,-3.480495746271475,winter
New York,2010-02-14,0.3950331373295458,winter
New York,2010-02-15,2.3451983003408245,winter
New York,2010-02-16,5.9045434334495095,winter
New York,2010-02-17,1.8098133245442447,winter
New York,2010-02-18,-0.4573143060328569,winter
New York,2010-02-19,1.8968908246972558,winter
New York,2010-02-20,-0.7604456607337168,winter
New York,2010-02-21,-0.3907218968408063,winter
New York,2010-02-22,-0.06907500394988299,winter
New York,2010-02-23,7.011978872099105,winter
New York,2010-02-24,-4.666199091691689,winter
New York,2010-02-25,1.2040873778123942,winter
New York,2010-02-26,2.33084044176076,winter
New York,2010-02-27,4.45618965093978,winter
New York,2010-02-28,0.18985814448852792,winter
New York,2010-03-01,11.442705876679264,spring
